                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0677,                0.64001,                0.90067,                 0.9991,                      1,                  0.995,                0.69647,                 1.1115,                0.57733,                0.93229,               0.007558,               0.007558,               0.007558
                     76,                 1.0921,                0.60922,                0.89229,                0.99981,                      1,                  0.995,                0.69031,                 1.1545,                0.55803,                0.95445,               0.007525,               0.007525,               0.007525
                     77,                 1.0993,                0.60773,                0.89179,                0.99985,                      1,                  0.995,                0.68639,                 1.1204,                0.57982,                0.93392,               0.007492,               0.007492,               0.007492
                     78,                 1.0776,                0.60394,                0.89425,                 0.9998,                      1,                  0.995,                 0.6902,                 1.1879,                0.57385,                0.95548,               0.007459,               0.007459,               0.007459
                     79,                 1.0565,                0.59537,                 0.8838,                0.99877,                      1,                  0.995,                  0.668,                 1.1537,                0.53378,                 0.9359,               0.007426,               0.007426,               0.007426
                     80,                  1.028,                0.55879,                0.89664,                0.99958,                      1,                  0.995,                0.68935,                 1.1655,                0.52374,                 0.9489,               0.007393,               0.007393,               0.007393
                     81,                 1.0195,                0.55811,                0.88131,                0.99886,                      1,                  0.995,                0.68186,                 1.1589,                0.54722,                0.93316,                0.00736,                0.00736,                0.00736
                     82,                 1.1166,                0.59743,                0.89067,                0.99895,                      1,                  0.995,                0.67294,                  1.186,                0.52391,                0.95657,               0.007327,               0.007327,               0.007327
                     83,                 1.0313,                0.56493,                0.88883,                0.99878,                      1,                  0.995,                0.67479,                 1.1755,                0.52657,                 0.9459,               0.007294,               0.007294,               0.007294
                     84,                 1.0897,                0.55921,                0.89202,                0.99891,                      1,                  0.995,                0.69615,                  1.145,                0.51632,                0.94142,               0.007261,               0.007261,               0.007261
                     85,                 1.0492,                0.55191,                0.87632,                0.99848,                      1,                  0.995,                0.67783,                 1.1813,                0.53203,                0.95056,               0.007228,               0.007228,               0.007228
                     86,                 1.0551,                0.58642,                0.88428,                0.99889,                      1,                  0.995,                 0.6851,                 1.2272,                0.54555,                0.96294,               0.007195,               0.007195,               0.007195
                     87,                 1.0727,                0.58335,                0.87923,                0.99848,                      1,                  0.995,                0.67701,                 1.1849,                0.53101,                0.95017,               0.007162,               0.007162,               0.007162
                     88,                0.99656,                0.55696,                0.86906,                0.99859,                      1,                  0.995,                0.65954,                 1.2103,                0.53823,                0.96849,               0.007129,               0.007129,               0.007129
